path,kind,bytes,modified,classification,reason
data/processed_noopp_wf2025_ext/bt_noopp_oos_edges.csv,csv,74949880,2026-06-29T16:53:52.810168982,canonical,"primary no-opportunity matrix, but raw league_k column must be excluded"
reports/adversarial_master_2026_06_29/artifact_inventory.csv,csv,54673,2026-06-30T07:23:10.481523514,canonical,created for no-leak audit/comparison
reports/adversarial_master_2026_06_29/best_candidate_bets_through_2026_06_29.csv,csv,7457308,2026-06-30T07:23:10.769165516,canonical,created for no-leak audit/comparison
reports/adversarial_master_2026_06_29/clv_audit.csv,csv,3786,2026-06-30T07:23:10.770169497,canonical,created for no-leak audit/comparison
reports/adversarial_master_2026_06_29/execution_sensitivity.csv,csv,747,2026-06-30T07:23:10.770666122,canonical,created for no-leak audit/comparison
reports/adversarial_master_2026_06_29/feature_leakage_audit.csv,csv,11875,2026-06-30T07:23:10.482027054,canonical,created for no-leak audit/comparison
reports/adversarial_master_2026_06_29/final_recommendation.md,md,2621,2026-06-30T07:23:10.828589201,canonical,created for no-leak audit/comparison
reports/adversarial_master_2026_06_29/grouped_performance.csv,csv,29644,2026-06-30T07:23:10.773670197,canonical,created for no-leak audit/comparison
reports/adversarial_master_2026_06_29/model_audit_master_summary.csv,csv,15023,2026-06-30T07:23:10.776673794,canonical,created for no-leak audit/comparison
reports/adversarial_master_2026_06_29/robustness_grid.csv,csv,12565,2026-06-30T07:23:10.771667480,canonical,created for no-leak audit/comparison
reports/adversarial_master_2026_06_29/valid_model_comparison.csv,csv,1984,2026-06-30T07:23:10.483546734,canonical,created for no-leak audit/comparison
reports/no_leak_2025_to_2026/bets_2026_elastic_top120_e5_eg0_under.csv,csv,7544299,2026-06-29T23:19:03.230831861,canonical,created for no-leak audit/comparison
reports/no_leak_2025_to_2026/bets_2026_poisson_top120_a2_e0_eg3_under.csv,csv,5032014,2026-06-29T23:19:03.810052872,canonical,created for no-leak audit/comparison
reports/no_leak_2025_to_2026/bets_2026_poisson_top120_a2_e3_eg0_all.csv,csv,14577286,2026-06-29T23:19:02.878124475,canonical,created for no-leak audit/comparison
reports/no_leak_2025_to_2026/bets_2026_poisson_top120_a2_e3_eg3_under.csv,csv,5032014,2026-06-29T23:19:04.084110260,canonical,created for no-leak audit/comparison
reports/no_leak_2025_to_2026/bets_2026_poisson_top120_a2_e7_eg0_under.csv,csv,6617770,2026-06-29T23:19:03.575067520,canonical,created for no-leak audit/comparison
reports/no_leak_2025_to_2026/eligible_from_2025_validation.csv,csv,1659,2026-06-29T23:19:02.146697283,canonical,created for no-leak audit/comparison
reports/no_leak_2025_to_2026/prediction_scores.csv,csv,881,2026-06-29T23:19:02.125174761,canonical,created for no-leak audit/comparison
reports/no_leak_2025_to_2026/test_2026_for_eligible_2025_configs.csv,csv,1660,2026-06-29T23:19:04.086616278,canonical,created for no-leak audit/comparison
reports/no_leak_2025_to_2026/top_candidate_2026_breakdowns.csv,csv,7603,2026-06-29T23:19:04.677852154,canonical,created for no-leak audit/comparison
reports/no_leak_2025_to_2026/validation_2025_filter_grid.csv,csv,342698,2026-06-29T23:19:02.123164654,canonical,created for no-leak audit/comparison
reports/walk_forward_comparison/walk_forward_bets.csv,csv,54378162,2026-06-30T07:27:15.235536098,canonical,created for no-leak audit/comparison
reports/walk_forward_comparison/walk_forward_daily_diff_test.csv,csv,256,2026-06-30T07:27:22.506542206,canonical,created for no-leak audit/comparison
reports/walk_forward_comparison/walk_forward_edge_buckets.csv,csv,4829,2026-06-30T07:27:12.954140425,canonical,created for no-leak audit/comparison
reports/walk_forward_comparison/walk_forward_monthly.csv,csv,4449,2026-06-30T07:27:12.953640699,canonical,created for no-leak audit/comparison
